Pagenum,Response,Number of people / Jinhao,House in / Jinhao,Number of people / Max,House in / Max,Site(AB:1/CS:2),identical?,disagreement on people,disagreement on in/out
367,,1,0,1,0,1,1,,
368,,2,0,2,0,2,1,,
369,,1,1,1,1,1,1,,
370,,1,0,1,1,2,0,,1
371,,2,1,2,1,1,1,,
372,,2,1,2,1,2,1,,
373,,1,0,1,0,1,1,,
374,,1,0,1,0,2,1,,
375,,1,0,1,0,1,1,,
376,,1,0,1,0,2,1,,
377,,1,0,1,0,1,1,,
378,,1,0,1,0,2,1,,
379,,0,0,0,0,1,1,,
380,,1,0,1,0,2,1,,
381,,1,0,1,0,1,1,,
382,,2,0,2,0,2,1,,
383,,1,0,1,0,1,1,,
384,,0,0,0,0,2,1,,
385,,1,0,1,0,1,1,,
386,,1,1,1,1,2,1,,
387,,1,0,1,0,1,1,,
388,,1,0,1,0,2,1,,
389,,1,0,0,1,1,0,1,1
390,,1,0,1,1,2,0,,1
391,,1,0,1,0,1,1,,
392,,2,0,2,0,2,1,,
393,,2,0,2,0,1,1,,
394,,2,1,2,0,2,0,,1
395,,1,0,1,0,1,1,,
396,,2,1,2,0,2,0,,1
397,,1,0,1,0,1,1,,
398,,1,0,1,0,2,1,,
399,,1,0,1,0,1,1,,
400,,1,0,1,0,2,1,,
401,,1,0,1,0,1,1,,
402,,1,1,1,1,2,1,,
403,,1,0,1,0,1,1,,
404,,2,0,2,0,2,1,,
405,,1,0,1,0,1,1,,
406,,1,0,1,0,2,1,,
407,,1,1,1,1,1,1,,
408,,1,0,1,1,2,0,,1
409,,1,0,1,0,1,1,,
410,,1,0,1,0,2,1,,
411,,2,1,2,0,1,0,,1
412,,2,0,2,0,2,1,,
413,,2,1,2,0,1,0,,1
414,,1,0,1,1,2,0,,1
415,,1,0,1,0,1,1,,
416,,1,0,1,0,2,1,,
417,,1,0,1,0,1,1,,
418,,1,0,1,0,2,1,,
419,,3,0,3,0,1,1,,
420,,1,0,0,0,2,0,1,
421,,1,0,1,0,1,1,,
422,,2,0,2,0,2,1,,
423,,2,1,2,1,1,1,,
424,,1,1,1,1,2,1,,
425,,1,0,1,0,1,1,,
426,,1,0,1,0,2,1,,
427,,1,1,1,1,1,1,,
428,,2,0,2,0,2,1,,
429,,1,0,1,0,1,1,,
430,,1,0,1,0,2,1,,
431,,2,0,2,0,1,1,,
432,,1,0,1,0,2,1,,
433,,2,1,2,1,1,1,,
434,,1,0,1,0,2,1,,
435,,3,0,3,0,1,1,,
436,,1,0,1,0,2,1,,
437,,1,0,1,0,1,1,,
438,,1,1,1,1,2,1,,
439,,1,1,1,1,1,1,,
440,,2,1,2,1,2,1,,
441,,2,0,2,0,1,1,,
442,,1,1,2,0,2,0,1,1
443,,1,0,1,0,1,1,,
444,,1,0,1,0,2,1,,
445,,0,1,0,1,1,1,,
446,,2,0,2,0,2,1,,
447,,1,0,1,0,1,1,,
448,,1,0,1,0,2,1,,
449,,1,1,1,1,1,1,,
450,,2,0,2,0,2,1,,
451,,1,1,1,0,1,0,,1
452,,2,0,2,0,2,1,,
453,,1,0,1,0,1,1,,
454,,1,0,1,0,2,1,,
455,,2,0,2,0,1,1,,
456,,2,1,2,0,2,0,,1
457,,1,0,1,0,1,1,,
458,,4,0,4,0,2,1,,
459,,1,0,1,0,1,1,,
460,,2,0,2,0,2,1,,
461,,1,0,1,0,1,1,,
462,,1,0,1,0,2,1,,
463,,2,0,2,0,1,1,,
464,,1,0,1,0,2,1,,
465,,1,0,1,0,1,1,,
466,,2,0,2,0,2,1,,
467,,1,1,1,0,1,0,,1
468,,2,0,2,0,2,1,,
469,,1,1,1,0,1,0,,1
470,,1,0,1,0,2,1,,
471,,1,1,1,1,1,1,,
472,,2,0,2,0,2,1,,
473,,0,0,0,0,1,1,,
474,,1,1,1,1,2,1,,
475,,1,1,1,1,1,1,,
476,,1,1,1,0,2,0,,1
477,,0,0,0,0,1,1,,
478,,1,0,1,0,2,1,,
